ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
comp0_c0_seq1	2	1	3
comp1000_c0_seq1	18	2	20
comp1001_c0_seq1	0	2	2
comp1002_c0_seq1	10	1	11
comp1003_c0_seq1	2	2	4
comp1004_c0_seq1	5	0	5
comp1005_c0_seq1	5	0	5
comp1006_c0_seq1	13	1	14
comp1007_c0_seq1	48	3	51
comp1008_c0_seq1	0	0	0
comp1009_c0_seq1	18	4	22
comp100_c0_seq1	27	2	29
comp1010_c0_seq1	3	1	4
comp1011_c0_seq1	7	0	7
comp1012_c0_seq1	12	1	13
comp1013_c0_seq1	8	0	8
comp1014_c0_seq1	12	1	13
comp1015_c0_seq1	23	2	25
comp1016_c0_seq1	0	2	2
comp1017_c0_seq1	18	0	18
comp1018_c0_seq1	8	1	9
comp1019_c0_seq1	7	0	7
comp101_c0_seq1	61	3	64
comp1020_c0_seq1	34	3	37
comp1021_c0_seq1	4	0	4
comp1022_c0_seq1	2	0	2
comp1023_c0_seq1	3	2	5
comp1024_c0_seq1	7	0	7
comp1025_c0_seq1	11	1	12
comp1026_c0_seq1	17	1	18
comp1027_c0_seq1	9	0	9
comp1028_c0_seq1	31	2	33
comp1029_c0_seq1	13	0	13
comp1030_c0_seq1	23	1	24
comp1031_c0_seq1	9	1	10
comp1032_c0_seq1	3	3	6
comp1033_c0_seq1	7	0	7
comp1034_c0_seq1	21	3	24
comp1035_c0_seq1	38	5	43
comp1036_c0_seq1	10	1	11
comp1037_c0_seq1	9	1	10
comp1038_c0_seq1	4	0	4
comp1039_c0_seq1	21	2	23
comp103_c0_seq1	73	12	85
comp1040_c0_seq1	11	3	14
comp1041_c0_seq1	0	4	4
comp1042_c0_seq1	4	2	6
comp1043_c0_seq1	22	0	22
comp1044_c0_seq1	6	0	6
comp1045_c0_seq1	13	0	13
comp1046_c0_seq1	19	0	19
comp1047_c0_seq1	11	0	11
comp1048_c0_seq1	0	0	0
comp1049_c0_seq1	6	0	6
comp104_c0_seq1	21	1	22
comp1050_c0_seq1	9	3	12
comp1051_c0_seq1	21	2	23
comp1052_c0_seq1	15	0	15
comp1053_c0_seq1	18	1	19
comp1054_c0_seq1	10	0	10
comp1055_c0_seq1	15	1	16
comp1056_c0_seq1	16	4	20
comp1057_c0_seq1	3	2	5
comp1058_c0_seq1	23	4	27
comp1059_c0_seq1	26	2	28
comp105_c0_seq1	41	2	43
comp1060_c0_seq1	26	4	30
comp1061_c0_seq1	4	0	4
comp1062_c0_seq1	5	2	7
comp1063_c0_seq1	11	1	12
comp1064_c0_seq1	8	0	8
comp1065_c0_seq1	6	1	7
comp1066_c0_seq1	18	1	19
comp1067_c0_seq1	13	0	13
comp1068_c0_seq1	0	0	0
comp1069_c0_seq1	6	2	8
comp106_c0_seq1	11	1	12
comp1070_c0_seq1	22	1	23
comp1071_c0_seq1	8	2	10
comp1072_c0_seq1	24	2	26
comp1073_c0_seq1	22	1	23
comp1074_c0_seq1	0	1	1
comp1075_c0_seq1	2	0	2
comp1076_c0_seq1	10	3	13
comp1077_c0_seq1	54	1	55
comp1078_c0_seq1	25	2	27
comp1079_c0_seq1	2	0	2
comp1080_c0_seq1	51	1	52
comp1081_c0_seq1	7	0	7
comp1082_c0_seq1	8	0	8
comp1083_c0_seq1	2	1	3
comp1084_c0_seq1	8	1	9
comp1085_c0_seq1	32	2	34
comp1087_c0_seq1	3	1	4
comp1088_c0_seq1	13	0	13
comp1089_c0_seq1	16	1	17
comp108_c0_seq1	24	3	27
comp1090_c0_seq1	18	1	19
comp1091_c0_seq1	12	3	15
comp1092_c0_seq1	3	0	3
comp1093_c0_seq1	2	1	3
comp1094_c0_seq1	3	0	3
comp1095_c0_seq1	23	1	24
comp1096_c0_seq1	8	1	9
comp1097_c0_seq1	28	0	28
comp1098_c0_seq1	3	2	5
comp1099_c0_seq1	9	3	12
comp1100_c0_seq1	7	1	8
comp1101_c0_seq1	7	1	8
comp1102_c0_seq1	2	0	2
comp1103_c0_seq1	8	0	8
comp1104_c0_seq1	15	1	16
comp1105_c0_seq1	17	1	18
comp1106_c0_seq1	20	0	20
comp1107_c0_seq1	19	1	20
comp1108_c0_seq1	25	2	27
comp1109_c0_seq1	12	1	13
comp110_c0_seq1	17	3	20
comp1110_c0_seq1	3	5	8
comp1111_c0_seq1	1	0	1
comp1112_c0_seq1	8	0	8
comp1113_c0_seq1	2	1	3
comp1114_c0_seq1	4	0	4
comp1115_c0_seq1	13	0	13
comp1116_c0_seq1	4	0	4
comp1117_c0_seq1	13	1	14
comp1118_c0_seq1	15	2	17
comp1119_c0_seq1	11	2	13
comp111_c0_seq1	58	1	59
comp1120_c0_seq1	41	2	43
comp1121_c0_seq1	29	3	32
comp1122_c0_seq1	12	2	14
comp1123_c0_seq1	2	3	5
comp1124_c0_seq1	16	1	17
comp1125_c0_seq1	42	4	46
comp1126_c0_seq1	21	4	25
comp1127_c0_seq1	7	1	8
comp1128_c0_seq1	2	0	2
comp1129_c0_seq1	10	0	10
comp112_c0_seq1	0	1	1
comp1130_c0_seq1	14	0	14
comp1131_c0_seq1	29	3	32
comp1132_c0_seq1	26	5	31
comp1133_c0_seq1	19	1	20
comp1134_c0_seq1	6	0	6
comp1135_c0_seq1	9	1	10
comp1136_c0_seq1	7	0	7
comp1137_c0_seq1	0	1	1
comp1138_c0_seq1	13	1	14
comp1139_c0_seq1	3	0	3
comp113_c0_seq1	16	1	17
comp1140_c0_seq1	10	0	10
comp1141_c0_seq1	19	3	22
comp1142_c0_seq1	28	0	28
comp1143_c0_seq1	0	0	0
comp1144_c0_seq1	23	2	25
comp1145_c0_seq1	19	2	21
comp1146_c0_seq1	5	0	5
comp1148_c0_seq1	2	1	3
comp1149_c0_seq1	32	0	32
comp114_c0_seq1	4	0	4
comp1150_c0_seq1	3	1	4
comp1151_c0_seq1	10	0	10
comp1152_c0_seq1	19	1	20
comp1153_c0_seq1	13	2	15
comp1154_c0_seq1	14	3	17
comp1155_c0_seq1	5	2	7
comp1156_c0_seq1	15	5	20
comp1157_c0_seq1	19	3	22
comp1158_c0_seq1	9	1	10
comp1159_c0_seq1	2	0	2
comp115_c0_seq1	0	1	1
comp1160_c0_seq1	9	1	10
comp1161_c0_seq1	4	0	4
comp1162_c0_seq1	3	0	3
comp1163_c0_seq1	18	2	20
comp1164_c0_seq1	3	1	4
comp1165_c0_seq1	7	1	8
comp1166_c0_seq1	4	0	4
comp1167_c0_seq1	5	0	5
comp1168_c0_seq1	8	1	9
comp1169_c0_seq1	10	0	10
comp116_c0_seq1	46	3	49
comp1170_c0_seq1	13	0	13
comp1171_c0_seq1	19	0	19
comp1172_c0_seq1	7	0	7
comp1173_c0_seq1	11	1	12
comp1174_c0_seq1	7	1	8
comp1175_c0_seq1	12	0	12
comp1176_c0_seq1	3	1	4
comp1177_c0_seq1	5	0	5
comp1178_c0_seq1	5	0	5
comp1179_c0_seq1	6	2	8
comp117_c0_seq1	27	3	30
comp1180_c0_seq1	8	1	9
comp1181_c0_seq1	6	2	8
comp1182_c0_seq1	10	0	10
comp1183_c0_seq1	5	2	7
comp1184_c0_seq1	5	0	5
comp1185_c0_seq1	18	2	20
comp1186_c0_seq1	41	5	46
comp1187_c0_seq1	14	0	14
comp1188_c0_seq1	18	0	18
comp1189_c0_seq1	10	2	12
comp118_c0_seq1	28	0	28
comp1190_c0_seq1	4	2	6
comp1191_c0_seq1	39	1	40
comp1192_c0_seq1	19	0	19
comp1193_c0_seq1	3	1	4
comp1194_c0_seq1	1	0	1
comp1195_c0_seq1	21	1	22
comp1196_c0_seq1	5	0	5
comp1197_c0_seq1	19	2	21
comp1198_c0_seq1	5	4	9
comp1199_c0_seq1	9	0	9
comp119_c0_seq1	15	2	17
comp11_c0_seq1	3	2	5
comp1200_c0_seq1	1	1	2
comp1201_c0_seq1	11	1	12
comp1202_c0_seq1	8	0	8
comp1203_c0_seq1	9	1	10
comp1204_c0_seq1	3	1	4
comp1205_c0_seq1	20	1	21
comp1206_c0_seq1	14	2	16
comp1208_c0_seq1	17	3	20
comp1209_c0_seq1	30	0	30
comp120_c0_seq1	18	0	18
comp1210_c0_seq1	20	1	21
comp1211_c0_seq1	16	1	17
comp1212_c0_seq1	8	2	10
comp1213_c0_seq1	5	1	6
comp1214_c0_seq1	4	0	4
comp1215_c0_seq1	6	2	8
comp1216_c0_seq1	6	1	7
comp1217_c0_seq1	7	1	8
comp1218_c0_seq1	12	1	13
comp1219_c0_seq1	7	3	10
comp121_c0_seq1	17	1	18
comp1220_c0_seq1	9	1	10
comp1221_c0_seq1	6	2	8
comp1222_c0_seq1	17	1	18
comp1223_c0_seq1	5	0	5
comp1224_c0_seq1	8	0	8
comp1225_c0_seq1	9	0	9
comp1226_c0_seq1	13	2	15
comp1227_c0_seq1	6	0	6
comp1228_c0_seq1	10	2	12
comp1229_c0_seq1	9	0	9
comp122_c0_seq1	30	26	56
comp1230_c0_seq1	4	2	6
comp1231_c0_seq1	19	0	19
comp1232_c0_seq1	4	0	4
comp1233_c0_seq1	4	3	7
comp1234_c0_seq1	10	2	12
comp1235_c0_seq1	9	3	12
comp1236_c0_seq1	27	4	31
comp1237_c0_seq1	8	0	8
comp1238_c0_seq1	11	2	13
comp1239_c0_seq1	7	1	8
comp123_c0_seq1	33	3	36
comp1240_c0_seq1	18	1	19
comp1241_c0_seq1	16	1	17
comp1242_c0_seq1	6	1	7
comp1243_c0_seq1	8	0	8
comp1244_c0_seq1	12	1	13
comp1245_c0_seq1	24	5	29
comp1246_c0_seq1	3	0	3
comp1247_c0_seq1	27	6	33
comp1248_c0_seq1	8	0	8
comp124_c0_seq1	5	1	6
comp1250_c0_seq1	12	3	15
comp1251_c0_seq1	12	3	15
comp1252_c0_seq1	31	2	33
comp1253_c0_seq1	27	3	30
comp1254_c0_seq1	9	1	10
comp1255_c0_seq1	3	0	3
comp1256_c0_seq1	15	3	18
comp1257_c0_seq1	9	1	10
comp1258_c0_seq1	3	0	3
comp1259_c0_seq1	0	0	0
comp125_c0_seq1	5	26	31
comp1260_c0_seq1	8	1	9
comp1261_c0_seq1	11	1	12
comp1262_c0_seq1	6	1	7
comp1263_c0_seq1	3	1	4
comp1264_c0_seq1	14	0	14
comp1265_c0_seq1	10	0	10
comp1266_c0_seq1	7	1	8
comp1267_c0_seq1	19	1	20
comp1268_c0_seq1	10	2	12
comp1269_c0_seq1	6	1	7
comp126_c0_seq1	8	0	8
comp1270_c0_seq1	0	0	0
comp1271_c0_seq1	11	1	12
comp1272_c0_seq1	10	1	11
comp1273_c0_seq1	12	2	14
comp1274_c0_seq1	4	3	7
comp1275_c0_seq1	4	0	4
comp1276_c0_seq1	10	5	15
comp1277_c0_seq1	8	0	8
comp1278_c0_seq1	5	2	7
comp1279_c0_seq1	7	1	8
comp127_c0_seq1	63	6	69
comp1280_c0_seq1	14	2	16
comp1281_c0_seq1	12	0	12
comp1282_c0_seq1	1	1	2
comp1283_c0_seq1	17	1	18
comp1284_c0_seq1	3	1	4
comp1285_c0_seq1	7	0	7
comp1286_c0_seq1	8	1	9
comp1287_c0_seq1	4	3	7
comp1288_c0_seq1	17	1	18
comp1289_c0_seq1	5	0	5
comp128_c0_seq1	26	2	28
comp1290_c0_seq1	9	1	10
comp1291_c0_seq1	4	0	4
comp1292_c0_seq1	24	2	26
comp1293_c0_seq1	7	3	10
comp1294_c0_seq1	6	0	6
comp1295_c0_seq1	20	0	20
comp1296_c0_seq1	3	0	3
comp1297_c0_seq1	26	1	27
comp1299_c0_seq1	10	0	10
comp129_c0_seq1	27	3	30
comp12_c0_seq1	2	0	2
comp1300_c0_seq1	14	0	14
comp1301_c0_seq1	5	4	9
comp1302_c0_seq1	5	0	5
comp1303_c0_seq1	8	0	8
comp1304_c0_seq1	10	0	10
comp1305_c0_seq1	1	0	1
comp1306_c0_seq1	10	1	11
comp1307_c0_seq1	6	0	6
comp1309_c0_seq1	8	0	8
comp130_c0_seq1	0	0	0
comp130_c0_seq2	0	1	1
comp1310_c0_seq1	24	4	28
comp1311_c0_seq1	14	0	14
comp1312_c0_seq1	3	0	3
comp1313_c0_seq1	5	1	6
comp1314_c0_seq1	8	1	9
comp1315_c0_seq1	8	2	10
comp1316_c0_seq1	3	1	4
comp1317_c0_seq1	10	1	11
comp1318_c0_seq1	13	1	14
comp1319_c0_seq1	9	4	13
comp131_c0_seq1	13	1	14
comp1320_c0_seq1	8	0	8
comp1321_c0_seq1	14	1	15
comp1322_c0_seq1	5	0	5
comp1323_c0_seq1	19	1	20
comp1324_c0_seq1	21	1	22
comp1325_c0_seq1	7	1	8
comp1326_c0_seq1	8	0	8
comp1327_c0_seq1	3	1	4
comp1328_c0_seq1	4	0	4
comp1329_c0_seq1	8	0	8
comp132_c0_seq1	37	2	39
comp1330_c0_seq1	10	1	11
comp1331_c0_seq1	5	0	5
comp1333_c0_seq1	0	1	1
comp1334_c0_seq1	24	1	25
comp1335_c0_seq1	6	1	7
comp1336_c0_seq1	23	2	25
comp1337_c0_seq1	8	0	8
comp1338_c0_seq1	4	1	5
comp1339_c0_seq1	5	0	5
comp133_c0_seq1	15	1	16
comp1340_c0_seq1	8	4	12
comp1341_c0_seq1	9	2	11
comp1342_c0_seq1	2	1	3
comp1343_c0_seq1	6	0	6
comp1344_c0_seq1	4	0	4
comp1345_c0_seq1	2	0	2
comp1346_c0_seq1	11	0	11
comp1347_c0_seq1	6	1	7
comp1348_c0_seq1	20	3	23
comp1349_c0_seq1	22	1	23
comp134_c0_seq1	12	0	12
comp1350_c0_seq1	6	0	6
comp1351_c0_seq1	6	2	8
comp1352_c0_seq1	7	1	8
comp1353_c0_seq1	5	0	5
comp1354_c0_seq1	15	1	16
comp1355_c0_seq1	21	1	22
comp1356_c0_seq1	2	0	2
comp1357_c0_seq1	7	0	7
comp1358_c0_seq1	1	1	2
comp1359_c0_seq1	11	0	11
comp135_c0_seq1	6	1	7
comp1360_c0_seq1	9	2	11
comp1361_c0_seq1	0	1	1
comp1362_c0_seq1	8	1	9
comp1363_c0_seq1	16	2	18
comp1364_c0_seq1	16	1	17
comp1365_c0_seq1	6	0	6
comp1366_c0_seq1	3	2	5
comp1367_c0_seq1	9	2	11
comp1368_c0_seq1	8	2	10
comp1369_c0_seq1	11	0	11
comp136_c0_seq1	11	2	13
comp1370_c0_seq1	13	0	13
comp1371_c0_seq1	5	0	5
comp1372_c0_seq1	11	2	13
comp1373_c0_seq1	29	6	35
comp1374_c0_seq1	18	1	19
comp1375_c0_seq1	22	2	24
